1.00, -117.05,
1.00, -117.05,
1.00, -91.95,
1.00, -110.15,
1.00, -71.10,
1.00, -100.46,
1.00, -86.08,
1.00, -80.66,
1.00, -93.92,
1.00, -86.27,
1.00, -84.48,
1.00, -82.23,
1.00, -98.98,
1.00, -104.53,
1.00, -93.26,
1.00, -99.01,
1.00, -108.81,
1.00, -90.74,
1.00, -87.87,
1.00, -97.71,
1.00, -91.40,
1.00, -83.40,
1.00, -98.32,
1.00, -81.05,
1.00, -82.85,
1.00, -74.19,
1.00, -93.07,
1.00, -111.55,
1.00, -94.57,
1.00, -94.61,
1.00, -86.36,
1.00, -77.10,
1.00, -99.84,
1.00, -94.51,
1.00, -88.35,
1.00, -103.41,
1.00, -93.25,
1.00, -93.23,
1.00, -104.82,
1.00, -103.88,
1.00, -90.59,
1.00, -96.81,
1.00, -79.22,
1.00, -102.01,
1.00, -81.74,
1.00, -117.05,
1.00, -91.95,
1.00, -110.15,
1.00, -71.10,
1.00, -100.46,
1.00, -117.05,
1.00, -91.95,
