algo,avg_cost,avg_reward,scenario,seed,tier
sac_lag,0.94,-436.0590039265391,perturbed,0,below_min
sac_lag,0.95,-185.45444665616344,perturbed,0,below_min
sac_lag,0.96,-166.57616876217324,perturbed,0,below_min
sac_lag,0.835,-131.82072057734538,perturbed,0,below_min
sac_lag,0.9716666666666667,-186.8075344892122,perturbed,0,below_min
sac_lag,0.7466666666666666,-205.969194797669,perturbed,0,below_min
sac_lag,0.7783333333333333,-99.11099831476159,perturbed,0,below_min
sac_lag,0.92,-178.70423928705696,perturbed,0,below_min
sac_lag,0.9216666666666666,-197.54410862108176,perturbed,0,below_min
sac_lag,0.95,-242.88530037177145,perturbed,0,below_min
sac_lag,0.6983333333333334,412.69590898976014,perturbed,0,minimum
sac_lag,0.9033333333333333,-152.1223413866153,perturbed,0,below_min
sac_lag,0.77,332.6542089472531,perturbed,0,below_min
sac_lag,0.685,419.65258875375713,perturbed,0,minimum
sac_lag,0.9433333333333334,-162.7091141585535,perturbed,0,below_min
sac_lag,0.8516666666666667,-131.54029822611406,perturbed,0,below_min
sac_lag,0.78,-154.92749706598977,perturbed,0,below_min
sac_lag,0.9166666666666666,-159.97425014177333,perturbed,0,below_min
sac_lag,0.8483333333333334,363.7921943329051,perturbed,0,below_min
sac_lag,0.8400000000000001,-202.95716172988,perturbed,0,below_min
